SNP1 SNP2 Zscore ZP 
X0 X1 0.401730140107183 0.687882640382734
X0 X2 -0.424072066384096 0.671513256564062
X1 X2 2.21106963070661 0.0270310155988943
X0 X3 1.84789588586343 0.0646174058223147
X1 X3 1.36748204605661 0.171474261037986
X0 X4 -0.343513039257515 0.731212533057319
X1 X4 -0.598703115629051 0.549370879176065
X3 X4 -0.907288127693513 0.364254450775449
X0 X5 -0.130390509245306 0.896257475012657
X1 X5 -0.736659669583244 0.461329338541769
X4 X5 -0.173452740866367 0.862295572078218
X0 X6 1.07633359035006 0.281778091127989
X1 X6 -1.11193031355505 0.266168113875889
X2 X6 0.745464286418007 0.455991093325607
X3 X6 -2.30224681763917 0.021321257108675
X4 X6 -1.22548425206256 0.22039281995805
X5 X6 0.381170457617265 0.703076768769423
X0 X7 0.328707900055476 0.742376482489296
X1 X7 -1.03247092011414 0.301851563606022
X2 X7 -0.945749952549472 0.344276137651751
X3 X7 1.5026374848616 0.132932551601256
X4 X7 -0.425842570831834 0.670222564338111
X5 X7 -1.10068279720488 0.271034735894628
X6 X7 -0.284365917277078 0.776129975371368
X0 X8 0.964568969649549 0.334760747898221
X1 X8 0.275919563180552 0.782609847721051
X2 X8 -0.754083145992341 0.450799296972834
X3 X8 -1.53101038658522 0.125766825657365
X4 X8 1.17346428322006 0.240609671743602
X5 X8 -0.295850334958113 0.767344380935153
X6 X8 -1.5279652356669 0.126521169602178
X7 X8 -2.50129308832594 0.0123740725754677
X0 X9 -0.373495541565015 0.708779662977423
X1 X9 -1.447944377337 0.147632607233399
X2 X9 0.955592241262222 0.339278282911123
X3 X9 2.34326844827934 0.0191156236175764
X4 X9 -0.174788827352397 0.861245567673036
X5 X9 1.48826255467864 0.136681665960712
X6 X9 -1.36034586218273 0.173720501690252
X8 X9 -0.704175612437307 0.481323416546139
