SNP1	SNP2	Zscore	ZP	glm_score
1	X12	X23	-3.31542686658267	0.000915032802304698	0.00600878536565181
2	X18	X31	2.90731010747868	0.00364551603547936	0.0060749517455228
3	X37	X46	2.85459582431602	0.00430916299001733	0.0037441443990749
4	X23	X46	-2.85343558343848	0.00432492951695911	0.00260476068967282
5	X3	X11	-2.8222699039713	0.00476850266741969	0.00690290588628053
6	X11	X36	2.7872244000387	0.00531616521575695	0.00549438322499111
7	X23	X42	-2.76289070170183	0.0057291947858758	0.00712788238934141
8	X21	X26	2.75059452880495	0.00594872253542813	0.00524288236233696
9	X6	X29	-2.66632745984721	0.00766849582506394	0.0084825815658525
10	X2	X40	-2.5464086482193	0.0108837694232047	0.00779071097266598
11	X19	X22	2.53479954498286	0.0112511688162423	0.00877219416931581
12	X0	X6	-2.50576242473852	0.0122187688621119	0.0158425070029919
13	X20	X33	2.50283386543612	0.0123203361797714	0.0216255398273648
