SNP1	SNP2	Zscore	ZP	glm_score
1	M0P0	M0P1	6.39728322878441	1.58165785768312e-10	9.25653135692535e-10
2	N18	N21	2.75115790432472	0.00593850101689303	0.00568615636328353
3	N10	N12	2.72211164381857	0.00648662243511272	0.00671231210469474
4	N22	M0P1	2.69809351572783	0.00697378472159293	0.00670349403831431
5	N0	N20	-2.66916252217566	0.00760406460955051	0.00974099860861531
6	N10	N16	-2.2941339029794	0.0217828084963386	0.0203936512578076
7	N21	M0P0	2.20085340389526	0.0277464035267272	0.0280134339604393
8	N5	N13	2.18394322843311	0.0289664199883157	0.0273563512568881
9	N4	N8	2.04866572148914	0.0404948132909459	0.0380892057921154
10	N13	N20	2.04784964529249	0.0405747341350455	0.0383969086720375
11	N4	N6	1.99712647048914	0.0458114460745956	0.0563748365004505
12	N9	N13	-1.99393953548697	0.0461586626930655	0.044424584168785
13	N0	M0P1	1.98610488195053	0.0470216793192399	0.044662305166434
14	N2	N8	1.96969772100125	0.0488730243407548	0.0469940684484164
15	N20	M0P1	-1.9245687432363	0.0542833329143479	0.051726139804192
16	N5	N22	1.8825896647514	0.0597559980921215	0.0666661577195669
17	N12	N17	1.8503334828536	0.064265499615821	0.0718325327470031
18	N9	N10	1.82619062774026	0.0678215525991752	0.0682087117096497
19	N9	N12	1.81184334640298	0.0700104052881626	0.0612440308844794
20	N1	N2	-1.79614533140975	0.072471406534964	0.0768830202617594
21	N3	N17	-1.76648702818104	0.0773141759402389	0.0758227649857918
22	N5	N21	-1.74602894765702	0.0808059218664245	0.0839807094708207
23	N6	N7	-1.74528607839232	0.0809350840292782	0.0769995061433922
24	N4	M0P1	-1.7405593318127	0.0817608514694842	0.0780200268078926
25	N0	N2	1.7404489219667	0.0817802215697776	0.0762460086576489
26	N19	M0P1	1.72486049365723	0.0845526166979321	0.0813408312229496
27	N11	N19	1.68719567435575	0.0915657328945465	0.0954025990227592
28	N14	M0P0	1.67978441897938	0.0929992677454874	0.0910596637707435
