"","SNP1","SNP2","Zscore","ZP","glm_score"
"1","X389","X449",12.9311008875627,3.00485185177031e-38,0.996180605579212
"2","X194","X483",12.6876787790603,6.92065848615047e-37,0.996233227578545
"3","X72","X389",12.5816760865904,2.66318708729163e-36,0.995989293406738
"4","X389","X481",12.4689140447241,1.10319204764514e-35,0.997350024655066
"5","X239","X483",-12.4093003761492,2.32677006538678e-35,NA
"6","X239","X403",-12.3985910676797,2.65958807864839e-35,NA
"7","X194","X481",-12.3677345107412,3.90685752618858e-35,NA
"8","X389","X483",-12.3646875092115,4.0578630325571e-35,NA
"9","X389","X403",-12.3575174540282,4.43646979872709e-35,NA
"10","X239","X481",12.3555625469082,4.54565148567994e-35,0.997331177825102
"11","X239","X389",-12.3509683872965,4.81285810641056e-35,NA
"12","X72","X194",-12.3419933762077,5.38070066657872e-35,NA
"13","X194","X413",-12.3309116711036,6.17441650300304e-35,NA
"14","X89","X483",-12.3289023839448,6.33031243242466e-35,NA
"15","X72","X481",-12.326087382283,6.55532011642822e-35,NA
"16","X89","X403",-12.3245712546339,6.67978074591104e-35,NA
"17","X89","X239",-12.3206152383753,7.01569993726389e-35,NA
"18","X413","X481",-12.3176098584267,7.28206842658513e-35,NA
"19","X194","X449",-12.3092213735331,8.07989107303239e-35,NA
"20","X194","X424",-12.3069647972424,8.30895242525516e-35,NA
"21","X109","X483",-12.3058119747503,8.42845177812090e-35,NA
"22","X72","X413",-12.305679177797,8.44232646281294e-35,NA
"23","X89","X389",-12.305311375487,8.48087318473945e-35,NA
"24","X109","X403",-12.3033126668898,8.69342080293693e-35,NA
"25","X109","X239",-12.3010298205877,8.94266520140307e-35,NA
"26","X449","X481",-12.3010167427124,8.94411332207924e-35,NA
"27","X424","X481",-12.299290457889,9.13732529023317e-35,NA
"28","X72","X449",-12.2936578336385,9.79705003651493e-35,NA
"29","X72","X424",-12.2924071785876,9.94983631043307e-35,NA
"30","X109","X389",-12.2921986215937,9.97554396928570e-35,NA
"31","X413","X449",-12.290489781347,1.01886839092061e-34,NA
"32","X413","X424",-12.2894438876236,1.03213616388193e-34,NA
"33","X194","X239",12.2879589941537,1.05126825467659e-34,0.997320651434503
"34","X89","X109",-12.285114890286,1.08890215946916e-34,NA
"35","X424","X449",-12.2836438178515,1.10888989677333e-34,NA
"36","X109","X424",12.2669281372088,1.36327980070833e-34,NA
"37","X109","X449",12.2664182083688,1.37189031434234e-34,NA
"38","X89","X424",12.2615193571646,1.45741343691134e-34,NA
"39","X109","X413",12.2615167528638,1.4574602823449e-34,NA
"40","X89","X449",12.2606356854166,1.47339484521041e-34,NA
"41","X72","X109",12.2590125694008,1.5032041965932e-34,NA
"42","X109","X481",12.2531957277852,1.61503926115457e-34,NA
"43","X389","X424",12.2531369214186,1.6162110765743e-34,NA
"44","X89","X413",12.2521417987934,1.63616913533935e-34,NA
"45","X72","X89",12.2478022203972,1.72610428502023e-34,NA
"46","X109","X194",12.2467103863414,1.74949466046285e-34,NA
"47","X239","X424",12.2426866438868,1.83844638868352e-34,NA
"48","X239","X449",12.2405016448587,1.88861718979841e-34,NA
"49","X403","X424",12.2399852691996,1.90067126461787e-34,NA
"50","X89","X481",12.2377220323515,1.95441140655369e-34,NA
"51","X403","X449",12.2376136070752,1.95702349744459e-34,NA
"52","X389","X413",12.2376126536861,1.95704648107122e-34,NA
"53","X424","X483",12.2370277477128,1.97119764544052e-34,NA
"54","X449","X483",12.2344517229276,2.0347412859503e-34,NA
"55","X89","X194",12.2264833798978,2.24446755075424e-34,NA
"56","X239","X413",12.2194993506709,2.44586301142176e-34,NA
"57","X403","X413",12.2148171000688,2.59083471519422e-34,NA
"58","X413","X483",12.2096908742147,2.75935564745061e-34,NA
"59","X72","X239",12.2087691506848,2.79079147799664e-34,NA
"60","X72","X403",12.2031702258284,2.98953629379712e-34,NA
"61","X72","X483",12.1970404058353,3.22327732261593e-34,NA
"62","X194","X389",12.1951359077398,3.29953053014149e-34,NA
"63","X403","X481",12.1761162883785,4.1665428586616e-34,NA
"64","X481","X483",12.167655270117,4.62168443580985e-34,NA
"65","X194","X403",12.1459531803966,6.02760102892227e-34,NA
"66","X403","X483",-12.1106224853659,9.27873004923515e-34,0.997028392049747
"67","X32","X44",-6.27574168646396,3.47971486429493e-10,0.000157289201910738
"68","X255","X368",-5.80284536435142,6.51989162089016e-09,0.00112983724462859
"69","X185","X289",-5.55735667732867,2.73890713947211e-08,0.989039941054504
