SNP1 SNP2 Zscore ZP 
X4 X8 2.9136753096076 0.00357201212393972
X1 X15 2.9610438629282 0.0030659827079194
X1 X28 -3.53018032957186 0.000415276515546887
X6 X30 -2.90895862551263 0.00362634848544093
X6 X38 -2.5832563411142 0.00978725731115964
X32 X44 -6.27574168646396 3.47971486429493e-10
X9 X46 -2.57477579505284 0.0100305082944375
X36 X46 -3.85312205062524 0.000116621221024388
X39 X46 -2.56022682501306 0.0104603865149622
X14 X47 -2.54550919012136 0.0109118491511815
X34 X47 2.5710593738162 0.010138794295451
X9 X50 -2.62345779728772 0.00870422279299113
X28 X51 2.62841186401799 0.00857845819511608
X15 X54 2.50430672099933 0.0122691619862387
X13 X55 -2.68429401070509 0.00726831571673792
X24 X55 -2.78245570706125 0.0053949228742456
X26 X55 -2.70216863097856 0.00688888138429149
X4 X60 -2.62163733504936 0.00875084967843086
X14 X60 -3.1636366890633 0.00155811165709318
X16 X60 -3.46342878607833 0.000533337750116185
X17 X60 -3.47905793360861 0.000503179794555366
X59 X60 -2.6674078680704 0.00764388437931122
X22 X61 2.83566585681269 0.00457302633923747
X32 X62 -3.43336385787185 0.000596141500542572
X10 X63 -2.95096202309967 0.00316785864464902
X50 X64 -2.66234121854372 0.00775991707876026
X39 X65 -2.65084434445264 0.00802908350249605
X2 X66 -2.60141562755923 0.00928398989508215
X66 X67 2.77792634625949 0.00547070173959001
X2 X69 -2.51965860492105 0.0117468705087651
X37 X71 -3.27359824886168 0.00106187468163476
X50 X73 2.70310707111402 0.00686946140749075
X9 X74 -2.8156216050595 0.0048682968763668
X49 X74 -2.80597827553099 0.00501640742537229
X36 X75 -3.94203434300857 8.07934043233641e-05
X6 X76 -2.7099490240202 0.00672935496584555
X11 X76 -3.01176922613076 0.00259729970001807
X28 X76 2.74177886592569 0.00611074652894176
X25 X78 -2.57080935770984 0.0101461162861664
X10 X79 -3.14504594327794 0.00166060749107945
X77 X79 -2.54889384113648 0.0108065190152892
X59 X80 3.08333148892084 0.00204697001656839
X65 X80 2.6402150364248 0.00828534376760513
X67 X80 3.52109885535112 0.000429762367920507
X73 X82 -2.78894654467854 0.00528797923098474
X2 X84 2.78696065307964 0.00532049386892186
X48 X84 2.65407345413076 0.00795265131573514
X51 X84 -2.55987646767416 0.0104709376143485
X7 X88 2.95920476196516 0.00308434086297316
X72 X89 12.2478022203972 1.72610428502023e-34
X7 X90 2.67440439925284 0.00748621171638155
X74 X90 3.22384603218345 0.00126481384349539
X7 X96 -2.54385515580354 0.0109636537131649
X25 X97 2.62265192336093 0.00872483591200109
X25 X99 2.51542717417058 0.0118888236459229
X66 X102 2.80110999622986 0.00509271570053085
X4 X104 -2.51755469350696 0.0118172620691816
X44 X104 -2.56336694123147 0.0103662426219947
X97 X105 -3.3851050276048 0.000711510247229187
X91 X106 2.57906845606062 0.00990671523962066
X85 X107 2.61993787837982 0.00879457858612154
X14 X108 2.51649943481552 0.0118527090291938
X72 X109 12.2590125694008 1.50320419659320e-34
X89 X109 -12.285114890286 1.08890215946916e-34
