SNP1	SNP2	Zscore	ZP	glm_score
1	X389	X449	12.9311008875627	3.00485185177031e-38	0.996180605579212
2	X194	X483	12.6876787790603	6.92065848615047e-37	0.996233227578545
3	X72	X389	12.5816760865904	2.66318708729163e-36	0.995989293406738
4	X389	X481	12.4689140447241	1.10319204764514e-35	0.997350024655066
10	X239	X481	12.3555625469082	4.54565148567994e-35	0.997331177825102
33	X194	X239	12.2879589941537	1.05126825467659e-34	0.997320651434503
66	X403	X483	-12.1106224853659	9.27873004923515e-34	0.997028392049747
67	X32	X44	-6.27574168646396	3.47971486429493e-10	0.000157289201910738
68	X255	X368	-5.80284536435142	6.51989162089016e-09	0.00112983724462859
69	X185	X289	-5.55735667732867	2.73890713947211e-08	0.989039941054504
70	X75	X129	-5.42124039711364	5.91869023782646e-08	0.000100174252507779
71	X325	X421	-5.13566067662248	2.81154548275809e-07	0.961004566896472
72	X21	X211	-4.94987143672638	7.42625209656341e-07	0.961156409370705
73	X111	X368	-4.8827877045258	1.0459646489298e-06	0.00556956092538805
74	X220	X289	-4.86303876986775	1.15597193941618e-06	0.965215696261577
75	X44	X359	-4.83152328213241	1.35492370289232e-06	0.000230165880592435
76	X272	X330	-4.52749013659652	5.96883861919262e-06	7.13210400437026e-05
77	X113	X458	-4.50541429407373	6.62435721496581e-06	0.000416468060452163
78	X98	X155	4.49879155200823	6.83408250846646e-06	5.0723079894942e-07
79	X111	X255	-4.48659461764758	7.23705857720336e-06	0.00323774793838095
80	X144	X353	-4.41026205112907	1.03245600750962e-05	0.969127964721104
81	X21	X436	-4.31745123554692	1.57841265673076e-05	0.00636141505190672
82	X312	X362	-4.29738825048176	1.72822338053203e-05	0.00860753441929467
83	X40	X200	4.29086322786305	1.77979912726671e-05	2.95002460733735e-05
84	X56	X164	-4.21559046465688	2.49125499319529e-05	0.000252892047931496
85	X400	X429	-4.21429812092861	2.50556150775158e-05	0.000242045517195533
86	X83	X421	-4.20285042820638	2.63574759317457e-05	0.013872051602757
87	X205	X473	-4.15631059601179	3.23428062597896e-05	0.000206921750391931
88	X138	X174	-4.09499083843602	4.22185082200134e-05	0.000117962569820091
89	X183	X330	-4.05838497094884	4.94132625469033e-05	9.97818096294129e-05
90	X49	X442	4.03441421370396	5.47386834913412e-05	0.000139106483629574
91	X429	X455	-4.02833013178695	5.61744264994128e-05	0.00260806440619106
92	X193	X208	-4.01826084510464	5.86292740419005e-05	0.000116394382849478
93	X83	X393	-3.98895200520496	6.63658462907247e-05	0.00402479795007441
94	X100	X185	-3.98689095053608	6.69447758514234e-05	0.00113661961327643
95	X171	X276	-3.95966625954631	7.50545774913653e-05	0.000139897518535968
96	X144	X436	-3.94269780626728	8.05701497874708e-05	0.0035020857289646
97	X36	X75	-3.94203434300857	8.07934043233641e-05	0.00251181599930159
98	X246	X333	3.93856366314595	8.19708455131489e-05	0.000221310919996987
99	X345	X348	-3.93433963698299	8.34257462067486e-05	9.58787656549332e-05
100	X253	X409	-3.92515269710889	8.66747393435794e-05	0.000312556698930393
101	X302	X303	3.91888448618318	8.8959733643743e-05	0.00041664900096371
102	X421	X455	-3.90801186097764	9.3058738853795e-05	0.0499712880165771
103	X179	X327	-3.90196826717012	9.5413668251617e-05	0.000227376063202514
104	X268	X309	-3.86038291221554	0.000113209478890478	0.00253271546969332
105	X432	X472	-3.85643412204672	0.000115053086025612	0.000140747277800974
106	X210	X418	3.85628692637221	0.000115122353019444	5.93592334281134e-05
107	X36	X46	-3.85312205062524	0.000116621221024388	0.00251477128793088
108	X9	X471	-3.85161779423584	0.000117340063455259	6.18216108156559e-05
109	X295	X358	-3.81941417599783	0.000133768991419295	0.000558682862935073
110	X51	X135	-3.81408167652868	0.000136690259238788	0.000488111673117406
111	X160	X410	3.81376855684885	0.000136863648141648	0.000191663934575245
112	X373	X421	-3.77757281241779	0.000158364213488203	0.960444287345122
113	X184	X351	-3.77318996874022	0.000161173470296316	0.0061711936198184
114	X253	X475	-3.76694206532442	0.000165259331330425	0.000508913759719586
115	X93	X211	-3.76335154290703	0.000167651268306466	0.966210902332162
116	X157	X346	-3.72865822420203	0.000192502025608381	0.000395322203835275
117	X144	X486	-3.72296774358845	0.000196894684975548	0.00735663793633544
118	X46	X243	-3.72176024660539	0.000197838823349888	0.00189568758033959
119	X359	X416	-3.72127163533081	0.000198222074622587	0.00148970661793206
120	X362	X482	-3.7153239319448	0.000202943537987697	0.960282694177663
